time,F_x,F_y,F_z,T_x,T_y,T_z,U_sup,U_fluid,fluid_fraction
1.250000,9.08010397E-05,-8.04192565E-11,1.00209523E-02,-1.76399704E-11,1.68459115E-08,4.21999572E-11,1.77859849E-03,1.81329291E-03,9.80648219E-01
1.260000,9.10799317E-05,-7.59677793E-11,1.00218331E-02,-1.64263503E-11,1.68484168E-08,4.10728085E-11,1.77871925E-03,1.81341609E-03,9.80648219E-01
1.270000,9.13419909E-05,-7.15581240E-11,1.00226891E-02,-1.52465851E-11,1.68509236E-08,3.99827138E-11,1.77883380E-03,1.81353294E-03,9.80648219E-01
1.280000,9.15879099E-05,-6.72276746E-11,1.00235211E-02,-1.41046793E-11,1.68534309E-08,3.89297162E-11,1.77894242E-03,1.81364373E-03,9.80648219E-01
1.290000,9.18183718E-05,-6.30059774E-11,1.00243294E-02,-1.30022402E-11,1.68559348E-08,3.79131306E-11,1.77904535E-03,1.81374874E-03,9.80648219E-01
1.300000,9.20340326E-05,-5.89113213E-11,1.00251148E-02,-1.19394757E-11,1.68584305E-08,3.69318370E-11,1.77914287E-03,1.81384821E-03,9.80648219E-01
1.310000,9.22355164E-05,-5.49528425E-11,1.00258779E-02,-1.09157762E-11,1.68609140E-08,3.59844801E-11,1.77923520E-03,1.81394240E-03,9.80648219E-01
1.320000,9.24234169E-05,-5.11335301E-11,1.00266194E-02,-9.93007480E-12,1.68633816E-08,3.50696067E-11,1.77932257E-03,1.81403154E-03,9.80648219E-01
1.330000,9.25982995E-05,-4.74525767E-11,1.00273400E-02,-8.98106080E-12,1.68658307E-08,3.41857484E-11,1.77940522E-03,1.81411585E-03,9.80648219E-01
1.340000,9.27607037E-05,-4.39069895E-11,1.00280403E-02,-8.06731240E-12,1.68682591E-08,3.33314715E-11,1.77948334E-03,1.81419555E-03,9.80648219E-01
1.350000,9.29111453E-05,-4.04925960E-11,1.00287210E-02,-7.18737266E-12,1.68706652E-08,3.25054020E-11,1.77955713E-03,1.81427084E-03,9.80648219E-01
1.360000,9.30501184E-05,-3.72046888E-11,1.00293827E-02,-6.33979785E-12,1.68730478E-08,3.17062387E-11,1.77962679E-03,1.81434191E-03,9.80648219E-01
1.370000,9.31780964E-05,-3.40383340E-11,1.00300262E-02,-5.52318503E-12,1.68754063E-08,3.09327592E-11,1.77969250E-03,1.81440896E-03,9.80648219E-01
1.380000,9.32955341E-05,-3.09886260E-11,1.00306520E-02,-4.73618547E-12,1.68777400E-08,3.01838171E-11,1.77975444E-03,1.81447216E-03,9.80648219E-01
1.390000,9.32226018E-05,-3.80696337E-12,1.00312788E-02,-1.11615146E-11,1.68887434E-08,2.98728506E-11,1.77980447E-03,1.81452321E-03,9.80648219E-01
1.400000,9.32331937E-05,3.48967170E-12,1.00318593E-02,-1.34550809E-11,1.68961526E-08,2.99463855E-11,1.77985171E-03,1.81457142E-03,9.80648219E-01
1.410000,9.32701150E-05,3.99530961E-12,1.00324048E-02,-1.41403667E-11,1.69000041E-08,2.95900624E-11,1.77989633E-03,1.81461696E-03,9.80648219E-01
1.420000,9.33137630E-05,2.99581427E-12,1.00329295E-02,-1.42009192E-11,1.69023674E-08,2.90746159E-11,1.77993846E-03,1.81465996E-03,9.80648219E-01
1.430000,9.33563225E-05,2.23997915E-12,1.00334408E-02,-1.39744437E-11,1.69041516E-08,2.84939587E-11,1.77997820E-03,1.81470053E-03,9.80648219E-01
1.440000,9.33946412E-05,2.13077929E-12,1.00339420E-02,-1.36063311E-11,1.69057309E-08,2.78912072E-11,1.78001567E-03,1.81473878E-03,9.80648219E-01
1.450000,9.34275755E-05,2.61932391E-12,1.00344339E-02,-1.31680002E-11,1.69072623E-08,2.72884496E-11,1.78005095E-03,1.81477480E-03,9.80648219E-01
1.460000,9.34548536E-05,3.54509032E-12,1.00349170E-02,-1.26972219E-11,1.69088105E-08,2.66970458E-11,1.78008415E-03,1.81480869E-03,9.80648219E-01
1.470000,9.34765660E-05,4.75298668E-12,1.00353913E-02,-1.22148329E-11,1.69103980E-08,2.61225399E-11,1.78011535E-03,1.81484054E-03,9.80648219E-01
1.480000,9.34929384E-05,6.12403422E-12,1.00358566E-02,-1.17325897E-11,1.69120293E-08,2.55672924E-11,1.78014462E-03,1.81487043E-03,9.80648219E-01
1.490000,9.35042336E-05,7.57566786E-12,1.00363129E-02,-1.12571596E-11,1.69137005E-08,2.50319347E-11,1.78017204E-03,1.81489843E-03,9.80648219E-01
1.500000,9.35107118E-05,9.05370909E-12,1.00367602E-02,-1.07922753E-11,1.69154052E-08,2.45161839E-11,1.78019770E-03,1.81492463E-03,9.80648219E-01
1.510000,9.35126164E-05,1.05238943E-11,1.00371986E-02,-1.03399380E-11,1.69171363E-08,2.40193002E-11,1.78022165E-03,1.81494910E-03,9.80648219E-01
1.520000,9.35101716E-05,1.19651900E-11,1.00376283E-02,-9.90111582E-12,1.69188872E-08,2.35403415E-11,1.78024398E-03,1.81497190E-03,9.80648219E-01
1.530000,9.35035833E-05,1.33650806E-11,1.00380492E-02,-9.47615348E-12,1.69206520E-08,2.30783025E-11,1.78026473E-03,1.81499311E-03,9.80648219E-01
1.540000,9.34930411E-05,1.47164676E-11,1.00384616E-02,-9.06501940E-12,1.69224257E-08,2.26321878E-11,1.78028399E-03,1.81501278E-03,9.80648219E-01
1.550000,9.34787215E-05,1.60156297E-11,1.00388656E-02,-8.66746069E-12,1.69242040E-08,2.22010502E-11,1.78030180E-03,1.81503099E-03,9.80648219E-01
