time,u,gap
3.783000,-7.903293e-03,1.20343700e-03
3.784000,-7.859485e-03,1.19557700e-03
3.785000,-7.814283e-03,1.18776300e-03
3.786000,-7.768539e-03,1.17999400e-03
3.787000,-7.720243e-03,1.17227400e-03
3.788000,-7.676864e-03,1.16459700e-03
3.789000,-7.634991e-03,1.15696200e-03
3.790000,-7.593432e-03,1.14936900e-03
3.791000,-7.554544e-03,1.14181400e-03
3.792000,-7.521647e-03,1.13429200e-03
3.793000,-7.488262e-03,1.12680400e-03
3.794000,-7.447392e-03,1.11935700e-03
3.795000,-7.404435e-03,1.11195200e-03
3.796000,-7.370464e-03,1.10458200e-03
3.797000,-7.342219e-03,1.09724000e-03
3.798000,-7.309264e-03,1.08993000e-03
3.799000,-7.268151e-03,1.08266200e-03
3.800000,-7.225847e-03,1.07543600e-03
3.801000,-7.185890e-03,1.06825100e-03
3.802000,-7.142469e-03,1.06110800e-03
3.803000,-7.096977e-03,1.05401100e-03
3.804000,-7.049888e-03,1.04696100e-03
3.805000,-7.008407e-03,1.03995300e-03
3.806000,-6.970064e-03,1.03298300e-03
3.807000,-6.933980e-03,1.02604900e-03
3.808000,-6.896328e-03,1.01915200e-03
3.809000,-6.857982e-03,1.01229400e-03
3.810000,-6.822713e-03,1.00547200e-03
3.811000,-6.789172e-03,9.98683000e-04
3.812000,-6.753231e-03,9.91929000e-04
3.813000,-6.713124e-03,9.85216000e-04
3.814000,-6.673571e-03,9.78543000e-04
3.815000,-6.640683e-03,9.71902000e-04
3.816000,-6.609685e-03,9.65292000e-04
3.817000,-6.575651e-03,9.58717000e-04
3.818000,-6.543266e-03,9.52173000e-04
3.819000,-6.513471e-03,9.45660000e-04
3.820000,-6.486642e-03,9.39173000e-04
3.821000,-6.458060e-03,9.32715000e-04
3.822000,-6.429223e-03,9.26286000e-04
3.823000,-6.401009e-03,9.19885000e-04
3.824000,-6.369193e-03,9.13516000e-04
3.825000,-6.334868e-03,9.07181000e-04
3.826000,-6.299608e-03,9.00881000e-04
3.827000,-6.264802e-03,8.94616000e-04
3.828000,-6.231977e-03,8.88385000e-04
3.829000,-6.200988e-03,8.82184000e-04
3.830000,-6.167689e-03,8.76016000e-04
3.831000,-6.137617e-03,8.69878000e-04
3.832000,-6.107005e-03,8.63771000e-04
3.833000,-6.074631e-03,8.57697000e-04
3.834000,-6.043021e-03,8.51654000e-04
3.835000,-6.011391e-03,8.45642000e-04
3.836000,-5.976404e-03,8.39666000e-04
3.837000,-5.942215e-03,8.33724000e-04
3.838000,-5.907779e-03,8.27816000e-04
3.839000,-5.873916e-03,8.21942000e-04
3.840000,-5.840005e-03,8.16102000e-04
3.841000,-5.804280e-03,8.10298000e-04
3.842000,-5.769276e-03,8.04528000e-04
3.843000,-5.739134e-03,7.98789000e-04
3.844000,-5.710595e-03,7.93079000e-04
3.845000,-5.682681e-03,7.87396000e-04
3.846000,-5.655001e-03,7.81741000e-04
3.847000,-5.626532e-03,7.76114000e-04
